year,borough,median_sale_price
2014,Bronx,368500.0
2014,Brooklyn,595000.0
2014,Manhattan,855000.0
2014,Queens,410000.0
2014,Staten Island,395460.0
2015,Bronx,379000.0
2015,Brooklyn,680000.0
2015,Manhattan,850000.0
2015,Queens,440000.0
2015,Staten Island,402000.0
2016,Bronx,390000.0
2016,Brooklyn,725000.0
2016,Manhattan,975000.0
2016,Queens,469000.0
2016,Staten Island,434000.0
2017,Bronx,420000.0
2017,Brooklyn,780000.0
2017,Manhattan,1175000.0
2017,Queens,525000.0
2017,Staten Island,482000.0
2018,Bronx,450000.0
2018,Brooklyn,800000.0
2018,Manhattan,1153204.5
2018,Queens,556200.0
2018,Staten Island,528429.5
2019,Bronx,495500.0
2019,Brooklyn,820000.0
2019,Manhattan,1230000.0
2019,Queens,590000.0
2019,Staten Island,539988.0
2020,Bronx,580000.0
2020,Brooklyn,845000.0
2020,Manhattan,1200000.0
2020,Queens,625000.0
2020,Staten Island,550000.0
2021,Bronx,595000.0
2021,Brooklyn,950000.0
2021,Manhattan,1220950.0
2021,Queens,680000.0
2021,Staten Island,600000.0
2022,Bronx,625000.0
2022,Brooklyn,985575.0
2022,Manhattan,1260000.0
2022,Queens,700000.0
2022,Staten Island,650000.0
2023,Bronx,600000.0
2023,Brooklyn,970000.0
2023,Manhattan,1260000.0
2023,Queens,690000.0
2023,Staten Island,645000.0
2024,Bronx,650000.0
2024,Brooklyn,995000.0
2024,Manhattan,1225000.0
2024,Queens,700000.0
2024,Staten Island,650000.0
